"id_asesor","nombre_completo","modalidad_trabajo","estado_actual","test_estres","test_empatia","tmo_historico_avg","fcr_historico_avg","total_micro_ausentismos","nota_calidad_avg","total_errores_criticos","gravedad_incidencias_total","motivacion_avg"
"A-038","Etelvina Laura Aliaga Caparrós","Presencial","Activo","6.80","5.30","7.97","88.04","169","83.86","3","1","4.46"
"A-039","Valeria Meléndez Heras","Virtual","Activo","7.80","5.60","9.11","76.36","128","79.68","5","4","5.88"
"A-040","Dionisio Bermúdez Boada","Virtual","Activo","5.50","3.10","8.01","71.18","141","79.62","7","8","5.38"
"A-041","Sabina Bayón Casas","Presencial","Activo","5.90","1.70","9.37","87.53","130","63.23","7","14","5.17"
"A-042","Narciso Talavera Dalmau","Virtual","Renuncia","9.60","8.00","7.87","70.93","11","95.00","0","4","6.75"
"A-043","Juan Luis Rocha-Galán","Presencial","Renuncia","8.60","2.10","6.95","79.94","86","86.70","0","8","4.44"
"A-044","Priscila de Mesa","Virtual","Activo","9.20","6.30","5.51","67.39","110","72.74","4","1","5.25"
"A-045","Nazaret Perea Ríos","Presencial","Despedido","8.30","9.40","10.34","61.23","64","70.20","4","0","5.45"
"A-046","Jennifer Carrillo","Virtual","Activo","2.00","8.90","6.47","75.22","135","72.38","6","7","5.21"
"A-047","Daniel de Neira","Presencial","Renuncia","2.30","3.50","7.79","82.46","87","72.57","7","0","6.33"
"A-048","Macario Grau Giménez","Virtual","Despedido","5.70","8.70","6.32","69.98","29","64.00","5","5","5.63"
"A-049","Andrés Felipe Barral Granados","Virtual","Activo","3.20","1.00","8.47","78.45","150","77.66","10","3","5.75"
"A-050","Víctor Angulo Murillo","Presencial","Activo","5.30","1.20","4.00","78.65","154","71.35","3","0","5.42"
"A-051","José Ángel Gárate Lopez","Virtual","Renuncia","4.50","6.40","6.99","67.44","82","62.03","6","5","5.82"
"A-052","Clotilde Catalán Suárez","Virtual","Activo","5.90","4.30","8.14","79.10","149","68.81","10","0","3.58"
"A-053","Ruben del Ramírez","Virtual","Activo","7.70","4.50","6.58","70.41","161","72.49","9","1","5.54"
"A-054","Asdrubal Caballero","Virtual","Renuncia","7.40","6.10","9.26","80.95","152","72.46","4","5","5.00"
"A-055","Felicidad Roda Reig","Virtual","Activo","5.70","2.70","9.31","88.80","151","79.36","2","4","5.79"
"A-056","Teresa Balaguer Cabello","Virtual","Renuncia","8.40","2.90","9.63","66.45","52","0","0","1","5.00"
"A-057","Heriberto Nicolau Canales","Presencial","Activo","4.90","5.40","6.04","62.77","147","78.99","5","7","3.83"
"A-058","Clemente de Sanabria","Presencial","Despedido","9.10","7.80","6.45","80.26","148","74.60","7","6","6.30"
"A-059","Héctor Español Lopez","Presencial","Activo","1.60","6.60","8.31","87.09","167","71.57","12","1","4.38"
"A-060","Diana Benet Salazar","Presencial","Despedido","9.60","3.70","8.83","78.13","127","75.87","2","1","6.19"
"A-061","Ariel de Alcolea","Presencial","Renuncia","6.90","4.90","5.17","67.05","66","69.88","5","8","5.33"
"A-062","Renato Guzmán Delgado","Presencial","Activo","4.40","2.50","8.20","65.72","154","83.33","4","4","5.04"
"A-063","Julieta Teruel García","Virtual","Activo","2.80","1.70","6.31","74.57","123","74.81","7","10","5.54"
"A-064","Yaiza Barral Cózar","Presencial","Despedido","5.30","8.00","6.45","66.01","130","80.29","6","2","5.95"
"A-065","Abril Portero Lara","Presencial","Activo","2.80","3.40","8.07","83.14","122","75.09","5","5","6.00"
"A-066","Eloísa Rocha Torrecilla","Virtual","Activo","2.50","2.60","6.26","93.05","133","71.71","14","8","5.42"
"A-067","Claudio Martin Gelabert","Presencial","Activo","6.60","7.20","7.20","84.79","150","72.77","5","17","5.25"
"A-068","Luis Miguel Barrera Mir","Virtual","Activo","5.70","6.60","6.25","89.13","133","69.41","8","15","7.04"
"A-069","Amador Tapia Valverde","Presencial","Renuncia","7.00","6.70","8.77","66.14","122","76.50","2","7","5.65"
"A-070","Camila Barberá","Virtual","Renuncia","9.40","3.10","7.42","65.87","81","67.64","3","2","4.94"
"A-071","Anita Estevez","Virtual","Activo","5.80","3.10","5.56","73.70","188","76.99","3","17","6.38"
"A-072","Manuel Bayo Gutierrez","Presencial","Activo","6.20","3.00","6.73","72.69","142","77.75","7","5","4.92"
"A-073","Azeneth Hoz Ariño","Presencial","Activo","1.80","2.60","7.35","65.66","161","76.30","5","2","6.13"
"A-074","Anita Hortensia Yáñez Molina","Virtual","Activo","7.50","6.90","8.06","74.19","152","75.67","1","3","5.04"
"A-075","Cristian Miralles-Gómez","Virtual","Activo","4.60","8.60","6.90","86.16","136","76.21","3","8","5.21"
"A-076","Hector Castro-Marín","Virtual","Despedido","9.80","7.50","6.41","71.84","160","75.46","3","9","6.43"
"A-077","Estela Belmonte Agustí","Virtual","Renuncia","8.40","8.10","8.17","73.52","150","84.18","5","3","5.70"
"A-078","María Ángeles Cabo Beltrán","Presencial","Renuncia","5.70","4.60","8.09","76.40","159","70.20","5","4","7.35"
"A-079","Clotilde del Cazorla","Presencial","Renuncia","2.10","6.90","12.00","80.49","5","0","0","5","7.00"
"A-080","Vera Bayona Hidalgo","Presencial","Activo","8.70","4.20","8.48","85.26","138","71.43","10","9","4.92"
"A-081","Elodia Cruz Ríos","Virtual","Renuncia","8.20","5.70","10.65","78.80","36","81.55","4","0","4.89"
"A-082","Ofelia del Ángel","Virtual","Activo","2.70","5.30","7.98","91.03","139","72.84","9","15","5.79"
"A-083","Nazario Marí Calleja","Presencial","Activo","3.70","2.60","7.24","76.80","154","78.30","2","13","5.79"
"A-084","Eligio Carlos Campo","Presencial","Activo","8.10","4.50","5.97","78.40","132","78.76","3","5","4.46"
"A-085","Calixta del Luján","Presencial","Activo","2.70","9.70","5.47","82.12","126","72.60","5","0","6.25"
"A-086","Clementina Paca Novoa Frutos","Presencial","Renuncia","9.30","3.20","9.12","64.92","118","79.50","2","18","5.55"
"A-087","José Antonio Torres-Iglesias","Virtual","Activo","4.80","2.20","8.57","77.31","137","77.80","4","14","6.00"
"A-088","Arturo Roda Lloret","Virtual","Activo","1.80","4.80","8.87","82.54","152","73.78","6","5","5.21"
"A-089","Abel Múgica Castrillo","Virtual","Activo","8.30","8.10","6.74","79.31","167","69.93","7","6","4.88"
"A-090","Cecilio Sala-Roma","Virtual","Activo","4.40","6.20","8.26","79.68","162","75.84","3","12","5.46"
"A-091","Adelia de Benet","Presencial","Renuncia","5.70","7.10","10.84","76.90","123","86.88","0","4","5.47"
"A-092","Leandro Araujo Peiró","Virtual","Activo","2.00","2.70","6.47","73.19","139","75.36","2","9","5.75"
"A-093","Mamen Colomer-Ropero","Virtual","Activo","1.00","6.60","8.48","85.05","137","76.89","2","8","6.67"
"A-094","Alfonso Mendez Pastor","Virtual","Activo","6.70","3.90","7.37","66.71","104","75.48","8","8","6.33"
"A-095","Vinicio Pallarès Gallo","Virtual","Activo","5.60","8.50","7.83","70.06","127","81.54","6","8","5.58"
"A-096","Nazario de Otero","Virtual","Renuncia","6.30","6.70","8.41","94.38","145","76.15","5","3","6.38"
"A-097","Verónica del Cortes","Virtual","Activo","8.10","2.80","6.80","92.01","121","80.24","9","5","5.67"
"A-098","Toni de Elorza","Virtual","Renuncia","6.80","1.60","7.16","78.57","111","74.94","2","4","6.50"
"A-099","Aitana Escobar Márquez","Presencial","Activo","2.60","1.40","5.87","64.82","141","80.68","0","0","5.54"
"A-100","Rosario Hurtado Lasa","Presencial","Activo","4.20","4.30","6.88","71.14","138","77.61","3","5","5.79"
"A-101","Rufino Campoy Piñeiro","Presencial","Despedido","9.20","3.40","8.88","69.36","137","76.30","4","6","5.50"
"A-102","Timoteo Sosa Girón","Virtual","Activo","7.90","6.80","10.29","72.58","121","74.21","9","2","6.13"
"A-103","Sebastian Seguí","Presencial","Activo","6.00","5.50","6.04","71.88","114","81.89","4","6","6.25"
"A-104","Encarnación Goñi Gisbert","Virtual","Renuncia","3.30","3.40","7.65","68.35","114","82.71","4","7","5.75"
"A-105","Narciso Ferrando Pujadas","Virtual","Activo","3.70","2.30","6.49","71.76","134","75.53","5","19","5.67"
"A-106","Eligia Baños Lorenzo","Presencial","Renuncia","7.60","2.10","7.07","53.94","88","75.42","3","3","6.81"
"A-107","Miguela Vergara Pulido","Virtual","Activo","8.70","8.80","4.55","78.36","139","75.25","6","7","4.17"
"A-108","Eusebia de Carlos","Virtual","Despedido","7.00","3.20","7.82","76.01","163","78.97","3","0","4.71"
"A-109","Chuy Lara-Arenas","Presencial","Renuncia","8.30","6.90","7.04","74.98","32","57.70","3","0","4.20"
"A-110","Marc Rovira Ojeda","Presencial","Activo","7.90","8.30","4.83","85.46","135","79.49","3","7","6.33"
"A-111","Isa Vidal Carlos","Presencial","Despedido","2.30","6.50","9.95","55.39","122","73.83","2","0","5.18"
"A-112","Ximena Falcón Iñiguez","Presencial","Activo","4.80","8.70","7.10","65.74","121","82.60","5","3","4.88"
"A-113","Paulino Rubio Abellán","Virtual","Despedido","2.40","4.50","9.62","74.85","100","72.78","3","4","5.61"
"A-114","Ángela Figueras","Virtual","Activo","3.10","9.60","6.91","74.60","172","73.75","6","1","4.50"
"A-115","Irene Becerra Murillo","Virtual","Activo","8.80","2.20","5.40","83.96","103","74.82","11","7","6.21"
"A-116","Estefanía Narcisa Casanovas Mas","Virtual","Activo","5.30","1.90","8.04","83.11","153","80.46","2","5","4.58"
"A-117","Esmeralda Real","Virtual","Activo","5.80","6.90","6.50","62.19","174","66.79","3","1","5.54"
"A-118","Graciana Marqués Castejón","Presencial","Activo","2.60","9.50","6.61","87.47","134","73.46","14","2","5.83"
"A-119","Humberto Pinilla","Virtual","Renuncia","3.80","8.30","9.17","80.74","185","77.40","6","3","5.08"
"A-120","Mario Mascaró Ramis","Virtual","Renuncia","3.10","1.70","9.74","65.20","88","76.62","4","2","6.43"
"A-121","Serafina de Mateu","Virtual","Despedido","2.90","3.50","11.22","66.62","10","65.40","1","0","5.83"
"A-122","Cruz Ildefonso Montserrat Sola","Virtual","Activo","6.70","9.40","4.93","80.03","158","73.03","8","5","5.58"
"A-123","Isaura García Vicente","Presencial","Activo","3.30","3.30","8.05","80.09","135","77.33","4","8","5.96"
"A-124","Rosalina Doménech Blazquez","Presencial","Activo","6.70","8.00","7.09","80.85","144","75.68","7","0","7.25"
"A-125","José Ángel Natanael Naranjo Bueno","Presencial","Activo","1.50","8.40","9.48","67.27","138","78.59","5","9","5.08"
"A-126","Nicodemo del Gomila","Virtual","Activo","2.30","5.50","4.73","66.65","113","73.84","7","8","5.54"
"A-127","Candelario Amat","Virtual","Activo","3.50","4.50","6.34","56.89","166","78.55","5","11","5.04"
"A-128","Donato Talavera Beltran","Virtual","Renuncia","6.40","5.10","10.98","67.81","53","88.05","0","0","5.33"
"A-129","Herminia Ferreras Plana","Presencial","Activo","7.10","3.00","8.25","77.49","145","75.11","9","12","6.29"
"A-130","Gloria Hervás Coloma","Virtual","Activo","5.00","9.00","7.62","66.04","160","77.20","1","9","5.79"
"A-131","Victoriano Campillo Rodríguez","Virtual","Activo","5.00","5.10","9.34","71.20","137","83.38","2","3","6.33"
"A-132","Chus del Ayllón","Presencial","Activo","7.50","8.90","6.41","80.36","171","74.77","8","4","5.17"
"A-133","Diana de Sastre","Presencial","Activo","1.10","2.00","7.50","77.65","151","83.45","5","6","5.38"
"A-134","Salvador Sobrino Molins","Presencial","Despedido","4.10","9.90","6.13","60.83","12","81.95","2","0","6.75"
"A-135","María José Vargas Roldan","Virtual","Activo","8.40","5.00","8.49","73.60","105","81.02","3","11","5.17"
"A-136","Itziar de Taboada","Presencial","Activo","6.40","1.40","7.98","84.67","167","75.88","5","2","5.17"
"A-137","Dora Huertas Lluch","Virtual","Activo","4.00","1.30","5.85","85.92","144","80.45","6","1","4.83"
"A-138","Julieta Haro","Virtual","Renuncia","9.10","7.70","6.92","66.88","113","74.98","10","2","6.35"
"A-139","Isidro Berenguer-Macias","Presencial","Despedido","8.00","6.90","5.68","63.63","80","80.00","2","5","6.13"
"A-140","Elías del Montenegro","Virtual","Renuncia","3.40","8.20","8.17","81.88","72","77.42","2","5","4.75"
"A-141","Anita de Contreras","Virtual","Renuncia","6.80","1.90","8.16","90.16","62","71.92","2","0","6.77"
"A-142","Gregorio de Gargallo","Presencial","Activo","6.40","1.30","8.43","84.74","135","77.54","7","9","5.96"
"A-143","Hipólito Ramón Muro","Virtual","Activo","4.60","5.60","7.43","66.34","148","78.76","3","8","5.25"
"A-144","Josefa del Barrios","Presencial","Despedido","4.30","4.50","7.90","62.03","144","78.94","3","4","6.37"
"A-145","Sigfrido Rivera","Presencial","Renuncia","4.10","5.20","7.35","58.88","74","83.30","2","0","5.71"
"A-146","Yolanda Aller Pintor","Presencial","Activo","6.60","9.90","7.03","86.78","154","79.00","7","14","5.83"
"A-147","Adelaida Ortiz Martín","Virtual","Renuncia","5.00","9.70","10.06","86.98","47","65.07","3","0","7.00"
"A-148","Tamara Rius Giménez","Virtual","Renuncia","8.50","9.50","7.50","64.91","49","72.47","2","1","6.64"
"A-149","Constanza Llamas Ruano","Presencial","Activo","7.00","8.10","10.24","80.50","107","74.72","4","5","5.46"
"A-150","Albina Porcel Navarrete","Presencial","Despedido","1.60","4.20","6.82","78.65","37","68.10","2","0","4.13"
"A-151","Paloma Dalmau Solsona","Virtual","Despedido","6.80","4.70","6.04","60.58","84","81.27","2","10","5.69"
"A-152","María Amores Prada","Presencial","Activo","3.40","5.90","7.71","80.40","141","79.25","5","8","5.25"
"A-153","Marcela Amores-Blanes","Presencial","Renuncia","6.30","8.50","7.35","83.06","83","66.38","8","2","5.26"
"A-154","Bernarda Serrano Espada","Virtual","Activo","7.10","1.60","7.50","86.17","154","80.83","1","1","6.21"
"A-155","Eladio Pinilla Morán","Virtual","Renuncia","3.10","4.80","11.36","72.76","139","74.25","4","8","4.86"
"A-156","Javi Morillo","Presencial","Activo","5.10","1.70","9.15","65.73","141","64.99","8","5","5.75"
"A-157","Pía Pinilla Lobo","Virtual","Activo","2.70","5.60","7.07","61.05","149","71.94","5","2","6.04"
"A-158","Dolores Bilbao Sosa","Virtual","Despedido","1.50","9.10","7.86","53.34","42","85.03","0","0","3.11"
"A-159","Reinaldo Azorin Olmo","Presencial","Activo","4.40","8.00","6.80","69.13","158","69.22","7","5","5.38"
"A-160","Moreno de Arjona","Virtual","Activo","4.30","3.10","7.58","70.87","156","70.60","2","3","5.38"
"A-161","Duilio Flores Almagro","Presencial","Activo","10.00","9.80","7.78","80.21","133","65.70","3","0","6.04"
"A-162","Calista Dafne Cases Sáenz","Virtual","Activo","5.00","7.00","4.89","65.27","150","70.50","6","0","4.50"
"A-163","Lope Gibert Sola","Virtual","Renuncia","4.00","1.10","9.36","72.68","92","80.37","7","2","5.65"
"A-164","Rodolfo Peinado-Diez","Virtual","Activo","6.20","3.30","7.66","81.21","133","78.30","3","0","4.58"
"A-165","María Dolores Piedad Carbó Céspedes","Presencial","Activo","1.80","3.30","4.34","73.50","117","72.93","9","17","5.42"
"A-166","Baltasar Luis Miguel Amigó Mesa","Virtual","Activo","9.70","1.60","4.72","82.95","164","74.64","7","8","4.83"
"A-167","Nicolasa Perez-Puente","Presencial","Renuncia","6.70","9.60","7.02","72.01","51","71.67","3","0","5.93"
"A-168","Anselmo Herrero","Presencial","Renuncia","7.80","5.30","7.11","91.47","112","74.09","7","5","5.38"
"A-169","Pablo Mata Carrillo","Presencial","Activo","2.50","9.10","9.12","75.95","128","75.88","4","7","6.33"
"A-170","Ricarda Armengol-Olivera","Virtual","Activo","4.70","3.90","5.36","88.69","165","76.20","7","0","6.25"
"A-171","Inés del Bayón","Virtual","Activo","4.80","2.10","9.86","80.02","113","76.21","9","2","5.63"
"A-172","Miriam Nogueira","Presencial","Activo","8.40","5.30","9.13","66.29","166","79.00","5","5","5.13"
"A-173","Teobaldo Rivera Trillo","Virtual","Renuncia","1.00","2.00","6.87","71.94","77","64.97","4","5","4.57"
"A-174","Inocencio Paredes Segura","Presencial","Activo","3.70","5.40","6.00","80.65","144","78.28","6","2","6.67"
"A-175","Isaac Echeverría Vélez","Virtual","Activo","9.80","9.30","8.87","76.70","129","70.08","1","2","5.46"
"A-176","Mario Tomás-Sola","Presencial","Activo","5.30","5.70","6.60","87.78","125","74.38","7","15","5.25"
"A-177","Sara Ledesma Mora","Virtual","Despedido","4.40","6.50","5.10","51.24","47","78.40","3","1","5.00"
"A-178","Severo de Lorenzo","Presencial","Activo","2.10","2.40","7.49","81.06","144","80.52","0","22","4.79"
"A-179","Daniela Sobrino Pinilla","Virtual","Activo","9.80","1.40","6.49","81.90","99","74.25","7","14","5.79"
"A-180","Albina Urrutia Morcillo","Presencial","Activo","1.20","2.00","6.76","70.52","140","78.14","3","5","6.83"
"A-181","Jose Francisco Garay Pacheco","Presencial","Activo","7.60","6.40","5.92","77.98","154","75.28","4","3","5.17"
"A-182","Francisco Losa-Llorente","Presencial","Renuncia","7.90","1.90","7.61","63.18","6","71.65","4","0","8.67"
"A-183","Adelina de Boada","Virtual","Activo","3.20","4.40","7.42","74.17","121","78.44","6","2","5.63"
"A-184","Plácido del Torres","Virtual","Renuncia","7.00","6.00","6.69","68.10","41","75.65","2","0","5.08"
"A-185","Purificación de Tamayo","Presencial","Renuncia","1.80","4.50","8.30","51.27","4","69.30","2","5","5.67"
"A-186","Jacinta Alemany Buendía","Virtual","Activo","3.30","2.50","6.87","74.07","197","79.83","2","3","6.33"
"A-187","Dan Hermenegildo Hervia Medina","Virtual","Activo","8.10","3.50","9.19","71.31","135","70.94","7","0","5.08"
"A-188","Flor Sáenz-Núñez","Virtual","Despedido","8.80","9.40","5.92","85.20","132","71.98","6","7","5.88"
"A-189","Petrona Muro Ortiz","Virtual","Activo","6.50","7.10","7.47","87.93","110","71.50","8","8","5.42"
"A-190","Elba Medina Iglesias","Presencial","Activo","5.60","5.50","7.31","66.40","148","74.36","5","6","5.08"
"A-191","Benito de Moles","Presencial","Despedido","2.40","1.10","8.01","69.15","69","75.22","4","9","5.88"
"A-192","Ramiro Esteve Feliu","Virtual","Activo","1.60","9.90","8.81","60.77","169","82.63","2","0","6.25"
"A-193","Rafael Tomé","Virtual","Activo","2.10","7.00","9.31","85.18","160","77.01","4","14","5.83"
"A-194","Porfirio Zamorano-Luna","Virtual","Activo","3.00","3.90","8.41","85.11","163","77.48","2","4","5.08"
"A-195","Sigfrido Ferrera Marti","Presencial","Despedido","4.10","8.90","6.70","73.50","109","60.80","5","2","5.63"
"A-196","Geraldo de Mate","Presencial","Activo","4.40","3.30","9.06","51.24","173","73.86","4","10","4.42"
"A-197","Paulino Castañeda Lledó","Virtual","Activo","4.10","5.90","6.29","80.57","130","74.54","5","0","5.46"
"A-198","Amando Manzano Cases","Virtual","Activo","3.20","6.70","8.07","82.66","165","74.02","6","0","4.83"
"A-199","Aroa Alberola Luís","Virtual","Activo","5.60","3.00","10.02","77.99","140","81.55","5","18","4.67"
"A-200","Julia Saez Niño","Virtual","Activo","8.40","9.80","8.10","88.14","150","68.19","9","3","5.75"
